Keyword,Document Frequency,Posting List
l,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
laptop,1,'doc5'
later,1,'doc8'
least,1,'doc7'
less,2,"'doc1', 'doc8'"
lg,1,'doc1'
life,1,'doc5'
lighter,1,'doc6'
like,4,"'doc1', 'doc2', 'doc6', 'doc8'"
littl,1,'doc4'
loss,1,'doc8'
lot,2,"'doc2', 'doc5'"
love,2,"'doc2', 'doc8'"
lower,1,'doc1'
m,10,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc7', 'doc8', 'doc9', 'doc10'"
machin,1,'doc4'
me,8,"'doc1', 'doc2', 'doc3', 'doc4', 'doc5', 'doc6', 'doc8', 'doc10'"
model,1,'doc6'
modern,1,'doc1'
money,2,"'doc5', 'doc8'"
month,2,"'doc3', 'doc8'"
more,2,"'doc1', 'doc8'"
most,1,'doc1'
move,1,'doc2'
movi,1,'doc4'
much,3,"'doc2', 'doc8', 'doc9'"
my,6,"'doc2', 'doc4', 'doc5', 'doc6', 'doc8', 'doc9'"
myself,1,'doc9'
net,2,"'doc4', 'doc10'"
new,1,'doc8'
next,1,'doc1'
nexu,3,"'doc1', 'doc2', 'doc6'"
nice,1,'doc10'
no,8,"'doc1', 'doc2', 'doc3', 'doc4', 'doc6', 'doc7', 'doc8', 'doc9'"
not,8,"'doc1', 'doc2', 'doc3', 'doc4', 'doc6', 'doc7', 'doc8', 'doc9'"
notic,1,'doc6'
now,4,"'doc1', 'doc2', 'doc4', 'doc8'"
off,2,"'doc4', 'doc8'"
older,1,'doc6'
one,5,"'doc1', 'doc2', 'doc5', 'doc6', 'doc8'"
onto,1,'doc4'
oper,2,"'doc2', 'doc3'"
option,1,'doc1'
or,7,"'doc1', 'doc2', 'doc3', 'doc4', 'doc7', 'doc8', 'doc9'"
os,3,"'doc1', 'doc4', 'doc8'"
out,3,"'doc2', 'doc6', 'doc8'"
over,3,"'doc4', 'doc6', 'doc8'"
overal,1,'doc6'
own,1,'doc1'
part,1,'doc8'
pc,1,'doc4'
piec,2,"'doc8', 'doc9'"
plu,1,'doc1'
point,1,'doc9'
port,2,"'doc1', 'doc3'"
power,1,'doc1'
pre,5,"'doc2', 'doc5', 'doc6', 'doc8', 'doc9'"
prefer,1,'doc2'
present,1,'doc9'
price,2,"'doc1', 'doc2'"
problem,3,"'doc3', 'doc4', 'doc8'"
product,1,'doc8'
profil,1,'doc1'
protect,1,'doc2'
protector,1,'doc2'
purchas,1,'doc6'
push,1,'doc8'
put,2,"'doc2', 'doc7'"
quit,2,"'doc5', 'doc6'"
