"Index,Document Frequency",Posting List
"('iphon', 1)","'doc2', [24, 127], 2"
"('befor', 1)","'doc2', [25], 1"
"('sure', 1)","'doc2', [30], 1"
"('about', 2)","'doc2', [31], 1], ['doc6', [60], 1"
"('get', 5)","'doc2', [32], 1], ['doc3', [88], 1], ['doc4', [103], 1], ['doc8', [77], 1], ['doc9', [88], 1"
"('android', 2)","'doc2', [36], 1], ['doc6', [47], 1"
"('oper', 1)","'doc2', [37], 1"
"('prefer', 1)","'doc2', [42, 134], 2"
"('it', 8)","'doc2', [43, 63, 84, 101, 104, 119], 6], ['doc3', [29, 56, 61, 92], 4], ['doc4', [19, 31, 52, 72], 4], ['doc5', [17, 37], 2], ['doc6', [32], 1], ['doc8', [17, 37, 53, 73, 98, 113, 120, 152, 217], 9], ['doc9', [36, 67, 72, 92], 4], ['doc10', [11, 16, 22], 3"
"('have', 5)","'doc2', [47, 125], 2], ['doc3', [11], 1], ['doc6', [68], 1], ['doc8', [176, 219, 230], 3], ['doc10', [26], 1"
"('button', 1)","'doc2', [50], 1"
"('be', 2)","'doc2', [54], 1], ['doc3', [51], 1"
"('abl', 1)","'doc2', [55], 1"
"('move', 1)","'doc2', [57], 1"
"('cursor', 1)","'doc2', [59], 1"
"('where', 1)","'doc2', [60], 1"
"('want', 4)","'doc2', [62], 1], ['doc7', [11], 1], ['doc8', [32], 1], ['doc10', [10], 1"
"('size', 1)","'doc2', [68], 1"
"('not', 7)","'doc2', [71], 1], ['doc3', [46], 1], ['doc4', [74], 1], ['doc6', [58], 1], ['doc7', [10], 1], ['doc8', [194], 1], ['doc9', [1], 1"
"('big', 2)","'doc2', [73], 1], ['doc4', [79], 1"
"('small', 1)","'doc2', [75], 1"
"('read', 2)","'doc2', [78], 1"
"('lot', 2)","'doc2', [80], 1], ['doc5', [20], 1"
"('ebook', 1)","'doc2', [82], 1"
"('weight', 1)","'doc2', [85], 1"
"('good', 4)","'doc2', [87], 1], ['doc4', [76], 1], ['doc5', [25, 29], 2], ['doc8', [177], 1"
"('immedi', 1)","'doc2', [90], 1"
"('put', 2)","'doc2', [91], 1], ['doc7', [17], 1"
"('tech', 1)","'doc2', [93], 1"
"('armor', 1)","'doc2', [94], 1"
"('protector', 1)","'doc2', [96], 1"
"('devicewear', 1)","'doc2', [98], 1"
"('case', 1)","'doc2', [99], 1"
"('protect', 1)","'doc2', [103], 1"
"('sometim', 1)","'doc2', [106], 1"
"('camera', 2)","'doc2', [108], 1], ['doc6', [25], 1"
"('work', 3)","'doc2', [111, 120, 155], 3], ['doc3', [1, 69, 94], 3], ['doc8', [114], 1"
"('restart', 1)","'doc2', [115], 1"
"('devic', 3)","'doc2', [117], 1], ['doc5', [26], 1], ['doc10', [33], 1"
"('than', 2)","'doc2', [118], 1], ['doc8', [40], 1"
"('again', 3)","'doc2', [121], 1], ['doc3', [83], 1], ['doc8', [115, 202], 2"
"('fine', 1)","'doc2', [122], 1"
"('ipod', 1)","'doc2', [129], 1"
"('touch', 4)","'doc2', [130], 1], ['doc3', [15, 42, 65], 3], ['doc6', [79], 1], ['doc8', [128], 1"
"('much', 3)","'doc2', [133], 1], ['doc8', [142], 1], ['doc9', [30, 51], 2"
"('ipad', 1)","'doc2', [138], 1"
"('all', 2)","'doc2', [145], 1], ['doc3', [71], 1"
"('storag', 1)","'doc2', [147], 1"
"('tablet', 6)","'doc2', [150], 1], ['doc3', [86], 1], ['doc4', [14, 93], 2], ['doc6', [74], 1], ['doc9', [8], 1], ['doc10', [4], 1"
"('fast', 2)","'doc2', [153], 1], ['doc6', [34], 1"
"('well', 1)","'doc2', [156], 1"
"('first', 2)","'doc3', [5], 1], ['doc8', [20, 154], 2"
"('few', 2)","'doc3', [6], 1], ['doc4', [8], 1"
"('month', 2)","'doc3', [7], 1], ['doc8', [26, 118], 2"
"('then', 2)","'doc3', [9, 18], 2], ['doc8', [22, 101], 2"
"('start', 2)","'doc3', [10], 1], ['doc4', [46], 1"
"('issu', 2)","'doc3', [12, 44], 2], ['doc8', [57, 67, 125], 3"
"('charg', 1)","'doc3', [20, 36, 75], 3"
"('port', 1)","'doc3', [21, 76], 2"
"('went', 1)","'doc3', [22], 1"
"('bad', 1)","'doc3', [23, 82], 2"
"('had', 4)","'doc3', [26], 1], ['doc4', [18], 1], ['doc8', [206], 1], ['doc9', [56], 1"
"('send', 2)","'doc3', [28], 1], ['doc8', [72], 1"
"('repair', 2)","'doc3', [33], 1], ['doc8', [79], 1"
"('problem', 3)","'doc3', [37], 1], ['doc4', [26], 1], ['doc8', [48, 209], 2"
"('fix', 2)","'doc3', [39], 1], ['doc8', [36, 210], 2"
"('were', 1)","'doc3', [45], 1"
"('seem', 1)","'doc3', [49], 1"
"('temperatur', 1)","'doc3', [52], 1"
"('in', 3)","'doc8', [74, 161], 2"
"('cooler', 1)","'doc3', [54], 1"
"('environ', 1)","'doc3', [55], 1"
"('function', 1)","'doc3', [57], 1"
"('properli', 1)","'doc3', [58, 95], 2"
"('s', 4)","'doc3', [62], 1], ['doc4', [13, 73], 2], ['doc5', [35], 1], ['doc10', [23], 1"
"('warmer', 1)","'doc3', [63], 1"
"('also', 1)","'doc3', [73], 1"
"('got', 2)","'doc3', [78], 1], ['doc8', [112], 1"
"('replac', 1)","'doc3', [79], 1"
"('go', 1)","'doc3', [81], 1"
"('would', 3)","'doc3', [87], 1], ['doc5', [43], 1], ['doc8', [218, 229], 2"
"('five', 1)","'doc3', [89], 1"
"('actual', 1)","'doc3', [93], 1"
"('ve', 2)","'doc4', [1, 17], 2], ['doc8', [139], 1"
"('been', 2)","'doc4', [2], 1], ['doc8', [231], 1"
"('net', 1)","'doc4', [4], 1"
"('book', 1)","'doc4', [5], 1"
"('final', 1)","'doc4', [11], 1"
"('bought', 3)","'doc4', [12], 1], ['doc5', [3], 1], ['doc8', [97], 1"
"('over', 2)","'doc4', [21], 1], ['doc8', [5], 1"
"('6mo', 1)","'doc4', [22], 1"
"('whatsoev', 1)","'doc4', [27], 1"
"('watch', 1)","'doc4', [33], 1"
"('movi', 1)","'doc4', [34], 1"
"('game', 2)","'doc4', [35], 1], ['doc10', [29], 1"
"('emul', 1)","'doc4', [37], 1"
"('shop', 1)","'doc4', [39], 1"
"('brows', 1)","'doc4', [40], 1"
"('web', 1)","'doc4', [42], 1"
"('just', 2)","'doc4', [45, 100], 2], ['doc8', [75], 1"
"('edit', 1)","'doc4', [47, 63, 85], 3"
"('gopro', 1)","'doc4', [49], 1"
"('video', 1)","'doc4', [50, 65, 84, 105], 4"
"('kinemast', 1)","'doc4', [54], 1"
"('am', 1)","'doc4', [56], 1"
"('veri', 2)","'doc4', [57], 1], ['doc9', [12], 1"
"('eas', 1)","'doc4', [61], 1"
"('720p', 1)","'doc4', [64], 1"
"('hero4', 1)","'doc4', [68, 108], 2"
"('as', 4)","'doc4', [75, 77], 2], ['doc8', [244], 1], ['doc9', [73], 1], ['doc10', [18], 1"
"('dedic', 1)","'doc4', [83], 1"
"('machin', 1)","'doc4', [86], 1"
"('conveni', 1)","'doc4', [89], 1"
"('littl', 1)","'doc4', [92], 1"
"('what', 1)","'doc4', [95], 1"
"('count', 1)","'doc4', [96], 1"
"('m', 4)","'doc4', [99], 1], ['doc6', [57, 87], 2], ['doc8', [193], 1], ['doc9', [22, 27], 2"
"('happi', 2)","'doc4', [101], 1], ['doc6', [89], 1"
"('off', 2)","'doc4', [106], 1], ['doc8', [242], 1"
"('onto', 1)","'doc4', [110], 1"
"('vimeo', 1)","'doc4', [111], 1"
"('son', 1)","'doc5', [2], 1"
